============================================================
  隔夜八步法策略回测
  初始资金: 10万元 | 止盈+2% | 止损-2%
============================================================
步骤1: 从数据库加载数据(服务端游标分批)...
  已加载 100000 条...
  已加载 200000 条...
  已加载 300000 条...
  已加载 400000 条...
  已加载 500000 条...
  已加载 600000 条...
  已加载 700000 条...
  已加载 800000 条...
  已加载 900000 条...
  已加载 1000000 条...
  已加载 1011593 条...
  加载完成: 1011591 条, 5197 只, 耗时68.5s
  日期: 2025-01-02 ~ 2026-05-15
步骤2: 计算MA5...
  MA5完成, 耗时2.7s
步骤3: 计算量比...
  量比完成, 耗时2.0s
步骤4: 计算连板...
  连板完成, 耗时7.4s
  量比覆盖: 985571/1011591 (97.4%)
  MA5覆盖: 985629/1011591 (97.4%)

################################################################################
  回测模式: 只买稳健池(涨幅3%-6%)
################################################################################
  总交易日: 327
  2025-06-23→2025-06-24 | 5只 | 盈亏-1,305.08 | 资金75,392.62
  2025-06-24→2025-06-25 | 5只 | 盈亏+874.24 | 资金76,266.86
  2025-06-25→2025-06-26 | 5只 | 盈亏+1,878.08 | 资金78,144.94
  2025-06-26→2025-06-27 | 5只 | 盈亏+504.06 | 资金78,649.00
  2025-06-27→2025-06-30 | 5只 | 盈亏+1,181.04 | 资金79,830.04
  2025-06-30→2025-07-01 | 5只 | 盈亏+341.56 | 资金80,171.60
  2025-07-01→2025-07-02 | 5只 | 盈亏-666.00 | 资金79,505.60
  2025-07-02→2025-07-03 | 5只 | 盈亏-707.92 | 资金78,797.68
  2025-07-03→2025-07-04 | 5只 | 盈亏-1,110.54 | 资金77,687.14
  2025-07-04→2025-07-07 | 5只 | 盈亏-469.92 | 资金77,217.22
  2025-07-07→2025-07-08 | 5只 | 盈亏+1,034.98 | 资金78,252.20
  2025-07-08→2025-07-09 | 5只 | 盈亏-734.40 | 资金77,517.80
  2025-07-09→2025-07-10 | 5只 | 盈亏+1,724.60 | 资金79,242.40
  2025-07-10→2025-07-11 | 5只 | 盈亏-1,058.66 | 资金78,183.74
  2025-07-11→2025-07-14 | 5只 | 盈亏+862.88 | 资金79,046.62
  2025-07-14→2025-07-15 | 5只 | 盈亏+122.22 | 资金79,168.84
  2025-07-15→2025-07-16 | 5只 | 盈亏-98.78 | 资金79,070.06
  2025-07-16→2025-07-17 | 5只 | 盈亏+306.58 | 资金79,376.64
  2025-07-17→2025-07-18 | 5只 | 盈亏-745.54 | 资金78,631.10
  2025-07-18→2025-07-21 | 5只 | 盈亏+1,136.18 | 资金79,767.28
  2025-07-21→2025-07-22 | 5只 | 盈亏+1,424.04 | 资金81,191.32
  2025-07-22→2025-07-23 | 5只 | 盈亏-711.08 | 资金80,480.24
  2025-07-23→2025-07-24 | 5只 | 盈亏+222.32 | 资金80,702.56
  2025-07-24→2025-07-25 | 5只 | 盈亏-422.34 | 资金80,280.22
  2025-07-25→2025-07-28 | 5只 | 盈亏-10.18 | 资金80,270.04
  2025-07-28→2025-07-29 | 5只 | 盈亏+873.32 | 资金81,143.36
  2025-07-29→2025-07-30 | 5只 | 盈亏+1,295.78 | 资金82,439.14
  2025-07-30→2025-07-31 | 5只 | 盈亏-896.96 | 资金81,542.18
  2025-07-31→2025-08-01 | 5只 | 盈亏-42.94 | 资金81,499.24
  2025-08-01→2025-08-04 | 5只 | 盈亏+917.24 | 资金82,416.48
  2025-08-04→2025-08-05 | 5只 | 盈亏+230.70 | 资金82,647.18
  2025-08-05→2025-08-06 | 5只 | 盈亏-1,117.50 | 资金81,529.68
  2025-08-06→2025-08-07 | 5只 | 盈亏+154.88 | 资金81,684.56
  2025-08-07→2025-08-08 | 5只 | 盈亏+94.16 | 资金81,778.72
  2025-08-08→2025-08-11 | 5只 | 盈亏+1,584.40 | 资金83,363.12
  2025-08-11→2025-08-12 | 5只 | 盈亏+1,144.76 | 资金84,507.88
  2025-08-12→2025-08-13 | 5只 | 盈亏+190.66 | 资金84,698.54
  2025-08-13→2025-08-14 | 5只 | 盈亏-149.88 | 资金84,548.66
  2025-08-14→2025-08-15 | 5只 | 盈亏+898.16 | 资金85,446.82
  2025-08-15→2025-08-18 | 5只 | 盈亏+1,837.48 | 资金87,284.30
  2025-08-18→2025-08-19 | 5只 | 盈亏+1,012.54 | 资金88,296.84
  2025-08-19→2025-08-20 | 5只 | 盈亏-2.94 | 资金88,293.90
  2025-08-20→2025-08-21 | 5只 | 盈亏+315.36 | 资金88,609.26
  2025-08-21→2025-08-22 | 5只 | 盈亏-1,176.84 | 资金87,432.42
  2025-08-22→2025-08-25 | 5只 | 盈亏+307.82 | 资金87,740.24
  2025-08-25→2025-08-26 | 5只 | 盈亏+729.36 | 资金88,469.60
  2025-08-26→2025-08-27 | 5只 | 盈亏-1,756.40 | 资金86,713.20
  2025-08-27→2025-08-28 | 5只 | 盈亏-384.02 | 资金86,329.18
  2025-08-28→2025-08-29 | 5只 | 盈亏-377.18 | 资金85,952.00
  2025-08-29→2025-09-01 | 5只 | 盈亏+1,481.16 | 资金87,433.16
  2025-09-01→2025-09-02 | 5只 | 盈亏-593.38 | 资金86,839.78
  2025-09-02→2025-09-03 | 5只 | 盈亏-980.38 | 资金85,859.40
  2025-09-03→2025-09-04 | 5只 | 盈亏-1,700.06 | 资金84,159.34
  2025-09-04→2025-09-05 | 5只 | 盈亏+315.70 | 资金84,475.04
  2025-09-05→2025-09-08 | 5只 | 盈亏+1,453.54 | 资金85,928.58
  2025-09-08→2025-09-09 | 5只 | 盈亏-158.96 | 资金85,769.62
  2025-09-09→2025-09-10 | 5只 | 盈亏-681.08 | 资金85,088.54
  2025-09-10→2025-09-11 | 5只 | 盈亏+156.60 | 资金85,245.14
  2025-09-11→2025-09-12 | 5只 | 盈亏+1,373.10 | 资金86,618.24
  2025-09-12→2025-09-15 | 5只 | 盈亏-684.88 | 资金85,933.36
  2025-09-15→2025-09-16 | 5只 | 盈亏+35.28 | 资金85,968.64
  2025-09-16→2025-09-17 | 5只 | 盈亏-184.38 | 资金85,784.26
  2025-09-17→2025-09-18 | 5只 | 盈亏-1,032.16 | 资金84,752.10
  2025-09-18→2025-09-19 | 5只 | 盈亏-92.60 | 资金84,659.50
  2025-09-19→2025-09-22 | 5只 | 盈亏+310.10 | 资金84,969.60
  2025-09-22→2025-09-23 | 5只 | 盈亏-490.86 | 资金84,478.74
  2025-09-23→2025-09-24 | 5只 | 盈亏+65.64 | 资金84,544.38
  2025-09-24→2025-09-25 | 5只 | 盈亏-628.42 | 资金83,915.96
  2025-09-25→2025-09-26 | 5只 | 盈亏+251.86 | 资金84,167.82
  2025-09-26→2025-09-29 | 5只 | 盈亏+463.26 | 资金84,631.08
  2025-09-29→2025-09-30 | 5只 | 盈亏+768.76 | 资金85,399.84
  2025-09-30→2025-10-09 | 5只 | 盈亏+1,458.64 | 资金86,858.48
  2025-10-09→2025-10-10 | 5只 | 盈亏-1,673.66 | 资金85,184.82
  2025-10-10→2025-10-13 | 5只 | 盈亏-3,326.08 | 资金81,858.74
  2025-10-13→2025-10-14 | 5只 | 盈亏+592.16 | 资金82,450.90
  2025-10-14→2025-10-15 | 5只 | 盈亏-694.62 | 资金81,756.28
  2025-10-15→2025-10-16 | 5只 | 盈亏-1,248.94 | 资金80,507.34
  2025-10-16→2025-10-17 | 5只 | 盈亏-883.20 | 资金79,624.14
  2025-10-17→2025-10-20 | 5只 | 盈亏-315.66 | 资金79,308.48
  2025-10-20→2025-10-21 | 5只 | 盈亏-332.18 | 资金78,976.30
  2025-10-21→2025-10-22 | 5只 | 盈亏-220.24 | 资金78,756.06
  2025-10-22→2025-10-23 | 5只 | 盈亏+22.34 | 资金78,778.40
  2025-10-23→2025-10-24 | 5只 | 盈亏+10.00 | 资金78,788.40
  2025-10-24→2025-10-27 | 5只 | 盈亏+1,347.38 | 资金80,135.78
  2025-10-27→2025-10-28 | 5只 | 盈亏-136.22 | 资金79,999.56
  2025-10-28→2025-10-29 | 5只 | 盈亏-934.78 | 资金79,064.78
  2025-10-29→2025-10-30 | 5只 | 盈亏-615.94 | 资金78,448.84
  2025-10-30→2025-10-31 | 5只 | 盈亏+151.12 | 资金78,599.96
  2025-10-31→2025-11-03 | 5只 | 盈亏+318.16 | 资金78,918.12
  2025-11-03→2025-11-04 | 5只 | 盈亏+584.10 | 资金79,502.22
  2025-11-04→2025-11-05 | 5只 | 盈亏-311.38 | 资金79,190.84
  2025-11-05→2025-11-06 | 5只 | 盈亏+847.50 | 资金80,038.34
  2025-11-06→2025-11-07 | 5只 | 盈亏-320.12 | 资金79,718.22
  2025-11-07→2025-11-10 | 5只 | 盈亏+1,204.28 | 资金80,922.50
